ApplicationID,CandidateID,JobID,SourcingChannel,ApplicationDate,CurrentStage,RecruitmentCost,Gender,Ethnicity
APP00001,CAND83656,JOB035,Employee Referral,2025-06-23,Rejected,0,Female,Black
APP00002,CAND86213,JOB044,LinkedIn,2026-02-12,Rejected,15,Male,White
APP00003,CAND20647,JOB027,Company Website,2026-04-03,Withdrawn,0,Male,White
APP00004,CAND18308,JOB041,Indeed,2025-07-01,Hired,0,Female,White
APP00005,CAND61991,JOB013,Employee Referral,2025-03-23,Withdrawn,0,Non-Binary,Black
APP00006,CAND46208,JOB022,Company Website,2025-06-23,Withdrawn,0,Male,Asian
APP00007,CAND98858,JOB001,Indeed,2025-05-31,Withdrawn,0,Male,White
APP00008,CAND81726,JOB015,Indeed,2026-02-27,Hired,0,Male,Asian
APP00009,CAND18415,JOB025,Indeed,2025-02-07,Rejected,0,Prefer not to say,White
APP00010,CAND63871,JOB024,Company Website,2025-02-09,Withdrawn,0,Male,White
APP00011,CAND51240,JOB003,Indeed,2025-05-22,Hired,0,Male,White
APP00012,CAND45854,JOB023,LinkedIn,2025-10-19,Withdrawn,15,Female,Asian
APP00013,CAND34818,JOB031,LinkedIn,2025-03-08,Withdrawn,15,Female,Asian
APP00014,CAND29216,JOB045,Recruitment Agency,2025-04-04,Withdrawn,0,Female,White
APP00015,CAND34519,JOB015,LinkedIn,2026-02-20,Hired,15,Male,White
APP00016,CAND12443,JOB007,LinkedIn,2025-10-08,Rejected,15,Male,White
APP00017,CAND80835,JOB044,Employee Referral,2026-01-24,Rejected,0,Male,Black
APP00018,CAND86534,JOB010,Employee Referral,2025-11-02,Rejected,0,Female,White
APP00019,CAND58285,JOB040,Company Website,2025-06-23,Rejected,0,Male,Black
APP00020,CAND48709,JOB015,Indeed,2026-02-16,Withdrawn,0,Male,White
APP00021,CAND46408,JOB016,Indeed,2026-04-21,Hired,0,Male,White
APP00022,CAND33510,JOB001,Indeed,2025-05-01,Rejected,0,Female,White
APP00023,CAND47573,JOB032,LinkedIn,2025-09-12,Rejected,15,Prefer not to say,Black
APP00024,CAND39192,JOB018,LinkedIn,2025-12-03,Rejected,15,Female,Black
APP00025,CAND58845,JOB031,Employee Referral,2025-04-04,Withdrawn,0,Male,White
APP00026,CAND24288,JOB033,Indeed,2025-01-25,Hired,0,Female,Hispanic
APP00027,CAND63625,JOB039,Company Website,2026-01-01,Rejected,0,Male,Hispanic
APP00028,CAND60861,JOB005,LinkedIn,2025-12-13,Hired,15,Male,Hispanic
APP00029,CAND10661,JOB030,LinkedIn,2026-01-13,Rejected,15,Female,White
APP00030,CAND98397,JOB013,LinkedIn,2025-03-17,Withdrawn,15,Male,White
APP00031,CAND89671,JOB034,LinkedIn,2025-03-19,Rejected,15,Male,Hispanic
APP00032,CAND25577,JOB031,LinkedIn,2025-03-26,Rejected,15,Female,White
APP00033,CAND13726,JOB030,LinkedIn,2025-12-23,Rejected,15,Male,Asian
APP00034,CAND56413,JOB042,LinkedIn,2025-04-21,Rejected,15,Male,White
APP00035,CAND44084,JOB040,Indeed,2025-07-26,Withdrawn,0,Female,Asian
APP00036,CAND24210,JOB008,Indeed,2025-03-31,Withdrawn,0,Female,White
APP00037,CAND92205,JOB016,LinkedIn,2026-04-14,Rejected,15,Male,Asian
APP00038,CAND16721,JOB031,LinkedIn,2025-03-11,Rejected,15,Female,White
APP00039,CAND69474,JOB023,Indeed,2025-10-18,Rejected,0,Female,White
APP00040,CAND43361,JOB025,Indeed,2025-02-23,Withdrawn,0,Male,White
APP00041,CAND39956,JOB006,LinkedIn,2025-04-05,Rejected,15,Male,Hispanic
APP00042,CAND74946,JOB041,LinkedIn,2025-06-26,Rejected,15,Male,Asian
APP00043,CAND92368,JOB009,LinkedIn,2025-11-11,Rejected,15,Female,White
APP00044,CAND37766,JOB028,LinkedIn,2025-05-15,Rejected,15,Male,White
APP00045,CAND18329,JOB008,Company Website,2025-03-03,Withdrawn,0,Female,White
APP00046,CAND40682,JOB045,LinkedIn,2025-04-27,Hired,15,Female,Black
APP00047,CAND78673,JOB029,Indeed,2025-12-26,Rejected,0,Female,Hispanic
APP00048,CAND31800,JOB036,Company Website,2025-12-17,Rejected,0,Male,Asian
APP00049,CAND98708,JOB026,LinkedIn,2025-05-06,Withdrawn,15,Prefer not to say,White
APP00050,CAND65077,JOB018,LinkedIn,2025-11-12,Rejected,15,Female,White
APP00051,CAND88610,JOB028,LinkedIn,2025-05-18,Rejected,15,Male,White
APP00052,CAND42174,JOB015,LinkedIn,2026-03-13,Withdrawn,15,Female,Black
APP00053,CAND27709,JOB031,LinkedIn,2025-03-24,Rejected,15,Female,Hispanic
APP00054,CAND44542,JOB002,Indeed,2025-04-16,Rejected,0,Male,Asian
APP00055,CAND20516,JOB035,LinkedIn,2025-06-08,Withdrawn,15,Male,White
APP00056,CAND87362,JOB014,LinkedIn,2025-02-28,Rejected,15,Female,Asian
APP00057,CAND47772,JOB026,Indeed,2025-04-30,Withdrawn,0,Male,White
APP00058,CAND30878,JOB016,LinkedIn,2026-04-27,Rejected,15,Male,Black
APP00059,CAND96156,JOB039,Recruitment Agency,2026-02-03,Rejected,0,Male,Asian
APP00060,CAND71202,JOB044,LinkedIn,2026-02-18,Hired,15,Male,White
APP00061,CAND42402,JOB003,Company Website,2025-06-09,Withdrawn,0,Male,Hispanic
APP00062,CAND95992,JOB008,Recruitment Agency,2025-03-20,Withdrawn,0,Female,Asian
APP00063,CAND34087,JOB042,LinkedIn,2025-04-09,Rejected,15,Male,Hispanic
APP00064,CAND68585,JOB002,LinkedIn,2025-05-02,Rejected,15,Male,Two or More
APP00065,CAND41433,JOB031,LinkedIn,2025-04-06,Withdrawn,15,Female,White
APP00066,CAND37691,JOB010,LinkedIn,2025-10-31,Rejected,15,Female,White
APP00067,CAND97440,JOB006,Employee Referral,2025-03-26,Withdrawn,0,Female,Asian
APP00068,CAND37056,JOB002,Company Website,2025-04-27,Withdrawn,0,Male,White
APP00069,CAND79087,JOB017,Company Website,2025-11-01,Withdrawn,0,Female,White
APP00070,CAND80533,JOB005,Company Website,2025-12-15,Hired,0,Male,Black
APP00071,CAND91938,JOB011,Indeed,2026-01-14,Rejected,0,Male,White
APP00072,CAND77054,JOB036,Indeed,2025-12-30,Withdrawn,0,Non-Binary,White
APP00073,CAND94021,JOB005,LinkedIn,2025-12-22,Withdrawn,15,Female,Black
APP00074,CAND92522,JOB039,Indeed,2025-12-28,Rejected,0,Male,White
APP00075,CAND45529,JOB016,LinkedIn,2026-04-29,Rejected,15,Non-Binary,Asian
APP00076,CAND54589,JOB015,Employee Referral,2026-02-18,Withdrawn,0,Female,White
APP00077,CAND11920,JOB005,LinkedIn,2025-12-22,Rejected,15,Male,White
APP00078,CAND65480,JOB004,Indeed,2025-11-08,Withdrawn,0,Male,Hispanic
APP00079,CAND91471,JOB022,Indeed,2025-06-16,Rejected,0,Male,Hispanic
APP00080,CAND25899,JOB023,Indeed,2025-10-22,Withdrawn,0,Female,White
APP00081,CAND54386,JOB042,LinkedIn,2025-05-07,Withdrawn,15,Non-Binary,White
APP00082,CAND82518,JOB009,Indeed,2025-11-28,Rejected,0,Male,White
APP00083,CAND92384,JOB023,Employee Referral,2025-11-12,Withdrawn,0,Male,Two or More
APP00084,CAND13373,JOB014,LinkedIn,2025-04-01,Rejected,15,Male,White
APP00085,CAND81045,JOB014,LinkedIn,2025-02-27,Rejected,15,Male,Asian
APP00086,CAND55536,JOB024,Indeed,2025-02-17,Rejected,0,Male,White
APP00087,CAND67415,JOB033,LinkedIn,2025-01-22,Rejected,15,Male,Asian
APP00088,CAND10307,JOB036,Employee Referral,2025-12-10,Rejected,0,Male,White
APP00089,CAND30566,JOB017,Employee Referral,2025-11-11,Rejected,0,Female,White
APP00090,CAND24011,JOB027,LinkedIn,2026-05-02,Rejected,15,Male,Hispanic
APP00091,CAND23269,JOB007,LinkedIn,2025-10-06,Withdrawn,15,Female,White
APP00092,CAND15313,JOB045,LinkedIn,2025-03-26,Rejected,15,Male,White
APP00093,CAND94117,JOB019,Indeed,2025-10-11,Rejected,0,Male,White
APP00094,CAND80122,JOB045,Employee Referral,2025-04-02,Rejected,0,Female,White
APP00095,CAND80469,JOB031,Company Website,2025-03-31,Withdrawn,0,Female,White
APP00096,CAND48751,JOB017,Indeed,2025-10-19,Withdrawn,0,Male,White
APP00097,CAND43783,JOB025,LinkedIn,2025-02-27,Rejected,15,Male,White
APP00098,CAND17189,JOB043,Employee Referral,2025-03-05,Rejected,0,Male,Asian
APP00099,CAND53298,JOB011,LinkedIn,2026-01-09,Rejected,15,Male,Asian
APP00100,CAND71269,JOB019,Company Website,2025-10-11,Rejected,0,Female,White
APP00101,CAND31199,JOB038,Company Website,2025-05-13,Rejected,0,Female,Asian
APP00102,CAND15867,JOB012,LinkedIn,2026-03-11,Rejected,15,Female,White
APP00103,CAND16533,JOB022,LinkedIn,2025-05-20,Rejected,15,Male,White
APP00104,CAND85318,JOB008,Indeed,2025-04-05,Withdrawn,0,Female,Hispanic
APP00105,CAND54439,JOB020,LinkedIn,2025-06-13,Rejected,15,Male,White
APP00106,CAND52814,JOB037,Company Website,2025-08-15,Rejected,0,Male,White
APP00107,CAND31398,JOB009,LinkedIn,2025-11-09,Rejected,15,Female,White
APP00108,CAND95473,JOB016,Indeed,2026-03-23,Rejected,0,Male,Asian
APP00109,CAND97134,JOB002,Indeed,2025-04-13,Withdrawn,0,Female,Asian
APP00110,CAND24605,JOB001,Company Website,2025-05-06,Rejected,0,Female,Black
APP00111,CAND30213,JOB036,Company Website,2025-12-07,Rejected,0,Female,Hispanic
APP00112,CAND44758,JOB025,LinkedIn,2025-02-17,Rejected,15,Male,White
APP00113,CAND36950,JOB031,Employee Referral,2025-03-06,Hired,0,Male,White
APP00114,CAND72894,JOB001,Company Website,2025-04-21,Withdrawn,0,Female,White
APP00115,CAND90859,JOB012,LinkedIn,2026-03-05,Withdrawn,15,Male,Black
APP00116,CAND73656,JOB031,Indeed,2025-04-06,Rejected,0,Male,Asian
APP00117,CAND14823,JOB037,LinkedIn,2025-08-23,Withdrawn,15,Male,White
APP00118,CAND57691,JOB027,Recruitment Agency,2026-04-12,Withdrawn,0,Male,White
APP00119,CAND52919,JOB005,Indeed,2025-11-24,Rejected,0,Female,Two or More
APP00120,CAND56233,JOB030,Company Website,2025-12-21,Rejected,0,Female,White
APP00121,CAND20492,JOB044,LinkedIn,2026-02-27,Rejected,15,Male,White
APP00122,CAND98992,JOB043,LinkedIn,2025-02-28,Rejected,15,Female,Asian
APP00123,CAND62311,JOB044,Recruitment Agency,2026-02-04,Withdrawn,0,Female,White
APP00124,CAND37105,JOB033,LinkedIn,2025-02-15,Hired,15,Non-Binary,Asian
APP00125,CAND99254,JOB026,LinkedIn,2025-04-24,Rejected,15,Male,White
APP00126,CAND59316,JOB005,LinkedIn,2025-12-01,Rejected,15,Female,White
APP00127,CAND59597,JOB003,LinkedIn,2025-06-16,Rejected,15,Male,White
APP00128,CAND86050,JOB022,Employee Referral,2025-06-01,Rejected,0,Non-Binary,White
APP00129,CAND27929,JOB011,LinkedIn,2026-01-16,Rejected,15,Female,White
